f__Brachyspiraceae	 o__[Brachyspirales]	 c__[Brachyspirae]	 p__Spirochaetes	k__Bacteria	1.88122722947e-06
f__Cryomorphaceae	 o__Flavobacteriales	 c__Flavobacteriia	 p__Bacteroidetes	k__Bacteria	0.00071874107878
f__Staphylococcaceae	 o__Bacillales	 c__Bacilli	 p__Firmicutes	k__Bacteria	0.00162493543746
f__Aurantimonadaceae	 o__Rhizobiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	1.52835333857e-06
f__Micromonosporaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	5.24094070389e-06
f__Pseudoalteromonadaceae	 o__Vibrionales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	5.00107609755e-07
f__Mycobacteriaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	7.06387924454e-06
f__Geobacteraceae	 o__Desulfuromonadales	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	1.12690112687e-07
f__Carnobacteriaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__Bacteria	0.000211737282296
f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__Bacteria	0.287947190072
f__Phormidiaceae	 o__Oscillatoriales	 c__Oscillatoriophycideae	 p__Cyanobacteria	k__Bacteria	2.46213110264e-06
f__Myxococcaceae	 o__Myxococcales	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	3.63669424493e-07
f__	 o__BPC076	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	3.64273842861e-07
f__Clostridiaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__Bacteria	0.0126582720014
f__Gemellaceae	 o__Gemellales	 c__Bacilli	 p__Firmicutes	k__Bacteria	0.000177781811168
f__Streptococcaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__Bacteria	0.00510853044713
f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__Bacteria	0.0056315980295
