o__Sphingomonadales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Gaiellales	 c__Thermoleophilia	 p__Actinobacteria	k__Bacteria	0.168602027447	3.14749047109e-10
o__Sphingomonadales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	0.119441077042	8.95952585685e-06
o__Sphingomonadales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Methylophilales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	0.160737819195	2.04853537315e-09
o__Desulfovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__Bacteria	0.153857419446	9.7990158962e-09
o__Desulfovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	o__YS2	 c__4C0d-2	 p__Cyanobacteria	k__Bacteria	0.170507475185	1.97222117641e-10
o__Desulfovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	o__SHA-98	 c__Clostridia	 p__Firmicutes	k__Bacteria	0.147081563082	4.28240003862e-08
o__Desulfovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	o__RF32	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.180454314186	1.57571903321e-11
o__Desulfovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__Bacteria	-0.197959752062	1.28907188013e-13
o__Desulfovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	0.156339785556	5.61518716447e-09
o__Desulfovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Synergistales	 c__Synergistia	 p__Synergistetes	k__Bacteria	0.183597199894	6.87797838853e-12
o__Desulfovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__Bacteria	0.194005845582	3.97423264691e-13
o__Desulfovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	0.208235015718	6.18109179711e-15
o__CW040	 c__TM7-3	 p__TM7	k__Bacteria	o__	 c__	 p__SR1	k__Bacteria	0.126613703428	2.48133794646e-06
o__CW040	 c__TM7-3	 p__TM7	k__Bacteria	o__[Chthoniobacterales]	 c__[Spartobacteria]	 p__Verrucomicrobia	k__Bacteria	0.139905164567	1.90126235769e-07
o__CW040	 c__TM7-3	 p__TM7	k__Bacteria	o__Ellin6513	 c__DA052	 p__Acidobacteria	k__Bacteria	0.22882567998	8.57609301122e-18
o__CW040	 c__TM7-3	 p__TM7	k__Bacteria	o__Bdellovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	0.148827445768	2.94702083349e-08
o__CW040	 c__TM7-3	 p__TM7	k__Bacteria	o__Vibrionales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.151388863265	1.68980934075e-08
o__CW040	 c__TM7-3	 p__TM7	k__Bacteria	o__	 c__TM7-3	 p__TM7	k__Bacteria	0.132605484219	8.03658897945e-07
o__CW040	 c__TM7-3	 p__TM7	k__Bacteria	o__Acidimicrobiales	 c__Acidimicrobiia	 p__Actinobacteria	k__Bacteria	0.213196947991	1.34500720343e-15
o__CW040	 c__TM7-3	 p__TM7	k__Bacteria	o__Solibacterales	 c__Solibacteres	 p__Acidobacteria	k__Bacteria	0.173845411117	8.58504197715e-11
o__CW040	 c__TM7-3	 p__TM7	k__Bacteria	o__Desulfuromonadales	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	0.194845287494	3.13546416055e-13
o__CW040	 c__TM7-3	 p__TM7	k__Bacteria	o__Solirubrobacterales	 c__Thermoleophilia	 p__Actinobacteria	k__Bacteria	0.202282347872	3.66332476823e-14
o__CW040	 c__TM7-3	 p__TM7	k__Bacteria	o__Gaiellales	 c__Thermoleophilia	 p__Actinobacteria	k__Bacteria	0.211238285204	2.4669231178e-15
o__Campylobacterales	 c__Epsilonproteobacteria	 p__Proteobacteria	k__Bacteria	o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	0.18904443428	1.5786553648e-12
o__Campylobacterales	 c__Epsilonproteobacteria	 p__Proteobacteria	k__Bacteria	o__Enterobacteriales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	-0.189158049313	1.53020613301e-12
o__Campylobacterales	 c__Epsilonproteobacteria	 p__Proteobacteria	k__Bacteria	o__Spirochaetales	 c__Spirochaetes	 p__Spirochaetes	k__Bacteria	0.149551271393	2.52080261941e-08
o__Campylobacterales	 c__Epsilonproteobacteria	 p__Proteobacteria	k__Bacteria	o__YS2	 c__4C0d-2	 p__Cyanobacteria	k__Bacteria	0.128542394833	1.73563781759e-06
o__Campylobacterales	 c__Epsilonproteobacteria	 p__Proteobacteria	k__Bacteria	o__Neisseriales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	0.131274204291	1.03690449059e-06
o__Campylobacterales	 c__Epsilonproteobacteria	 p__Proteobacteria	k__Bacteria	o__Synergistales	 c__Synergistia	 p__Synergistetes	k__Bacteria	0.140440290141	1.70555286881e-07
