	chao1	shannon	observed_otus	simpson	equitability
10317.000016759	647.318181818	6.10734620097	457.0	0.96014264	0.691185083331
10317.000014308	647.904761905	6.09525751572	446.0	0.95749656	0.692572076154
10317.000010546	461.8	4.57380572967	311.0	0.88380448	0.552340579958
10317.000015305	698.011904762	6.7210960194	527.0	0.97582232	0.743347643025
10317.000014295	526.826086957	5.09601470002	336.0	0.9171394	0.607223778999
10317.000011055	681.727272727	6.18766708105	489.0	0.95335412	0.692621596161
10317.000002818	484.0	3.77314882035	329.0	0.69343752	0.451228676304
10317.000009667	488.043478261	4.78926935988	345.0	0.9081389	0.568091609618
10317.000012254	537.529411765	5.26828293456	384.0	0.92021316	0.613664059
10317.000026037	621.013333333	6.27228301804	474.0	0.96533202	0.705643401143
10317.000007037	411.857142857	5.72221332942	354.0	0.92575644	0.67577702995
10317.000015594	681.04	6.62932656773	494.0	0.97908634	0.740842032536
10317.000004286	559.288135593	5.53563354674	392.0	0.94366096	0.642579221692
10317.000001351	548.25	5.01994699845	353.0	0.9050002	0.593127257281
10317.000010115	559.962264151	5.53481180143	379.0	0.93480342	0.64613318767
10317.000010981	578.333333333	6.0284314193	392.0	0.962875	0.699783455088
10317.000013028	445.362068966	5.96068114735	370.0	0.95848106	0.698677133936
10317.000017095	650.887323944	6.42762581032	458.0	0.97587352	0.727172487977
10317.000011048	769.138888889	6.33920796891	501.0	0.96907286	0.706817202053
10317.000002079	452.705882353	5.234630801	333.0	0.94393824	0.624703954361
10317.000014937	540.12195122	6.30994064564	441.0	0.96946322	0.718292878028
10317.000013653	432.185185185	4.98952345951	315.0	0.91213028	0.601204771402
10317.000021178	632.125	5.83080771297	419.0	0.94862034	0.669376338155
10317.000006741	574.047619048	5.84842723004	424.0	0.95405672	0.670082554085
10317.000014548	654.615384615	6.02487381108	431.0	0.96262186	0.688435522966
10317.000013215	638.516129032	6.09848713042	441.0	0.96072814	0.694222040828
10317.000010867	658.142857143	5.73570269035	392.0	0.96011184	0.665803351957
10317.000026613	533.0	5.89249280294	404.0	0.95872672	0.680566975602
10317.000006909	609.652173913	6.17314369609	452.0	0.9645051	0.699888712281
10317.000011163	570.534883721	5.22253953037	341.0	0.91190328	0.620723851164
10317.000012276	654.285714286	6.03260304087	461.0	0.9534131	0.681756142338
10317.000015003	506.982142857	5.4557749438	373.0	0.91772088	0.638622804946
10317.000001613	556.230769231	5.83738510505	415.0	0.9528438	0.671197758005
10317.000006029	554.444444444	5.83013766494	400.0	0.95715952	0.674483417695
10317.000005024	620.181818182	6.21543873202	462.0	0.95796794	0.702170689989
10317.000026632	705.352941176	6.25158152993	427.0	0.9721138	0.715440091978
10317.000033799	500.333333333	5.17019022343	282.0	0.95269306	0.635193513695
10317.000029152	701.153846154	4.2345528166	350.0	0.77547884	0.501058695679
10317.000022999	644.142857143	5.4256798546	378.0	0.93602502	0.633675103529
10317.000037575	823.046153846	6.8322168543	538.0	0.97926498	0.753154957959
10317.000027681	653.059701493	6.44317167662	456.0	0.97211162	0.729452270581
10317.000021296	849.720588235	6.42062714667	527.0	0.9718835	0.710116035009
10317.000028712	651.225806452	5.66145500156	433.0	0.94682846	0.646415929665
10317.000027363	681.150684932	5.81382913016	448.0	0.95313026	0.660110689488
10317.000033801	694.529411765	5.5657728792	396.0	0.93898612	0.644981210563
10317.000011225	591.763888889	5.95326180545	426.0	0.95935338	0.68156379139
10317.000011409	548.166666667	5.24697376785	336.0	0.93449316	0.625211548077
10317.000009475	463.5	4.93292577393	321.0	0.9045931	0.59244190821
10317.000012928	594.8	5.66311550872	344.0	0.9517655	0.672078990345
10317.000028841	645.402985075	5.98626704818	431.0	0.96625862	0.684024099949
10317.000014534	476.1	5.5763355622	354.0	0.94874434	0.658549282819
10317.000016715	669.225352113	6.54076379404	474.0	0.97759726	0.73584798333
10317.000008954A	500.263157895	5.76367306866	375.0	0.94362546	0.674054935004
10317.000015912	542.784313725	5.25182987056	352.0	0.93067894	0.620825382522
10317.000016725	641.05	6.40022223209	421.0	0.97830412	0.734166069202
10317.000018358	533.063829787	4.74527744783	329.0	0.87911702	0.567484974335
