OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Hispanic_mean	African American_mean	Caucasian_mean	Asian or Pacific Islander_mean
k__Bacteria; p__Spirochaetes; c__[Brachyspirae]; o__[Brachyspirales]; f__Brachyspiraceae	3.34695370686	0.341160846339	0.68998822855	1.0	0.0	0.0	1.98351292634e-06	1.51229489362e-06
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae	3.2630207687	0.352822716201	0.700822914832	1.0	0.000104827211646	0.000971947495076	0.00497126075824	0.00158836489965
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae	3.2525264743	0.354304918054	0.700822914832	1.0	0.00254629568439	0.00168231329819	0.00319577782888	0.00231095289488
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae	3.15091026765	0.368937914657	0.721835050417	1.0	0.0	0.0	7.54193376937e-07	1.34374645757e-06
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae	3.00661141011	0.390606949689	0.749635874734	1.0	0.000915955671871	0.00077705096103	0.00392278066559	0.00463230630507
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae	3.00096437598	0.391476512361	0.749635874734	1.0	0.00316951415909	0.00459986364483	0.00286176395326	0.00266890135618
k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__	2.96809004322	0.39657127551	0.75139820623	1.0	0.0	0.0	8.00165039354e-07	2.8962947349e-05
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	2.8179289656	0.420556988148	0.788544352778	1.0	1.67399929563e-06	6.80494311068e-06	7.51883027621e-05	5.34759358289e-06
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Brucellaceae	2.78889315018	0.425331567495	0.789275073701	1.0	4.43765875865e-05	0.0	0.000498602095017	5.65630297146e-05
k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales; f__Anaeroplasmataceae	2.59789176596	0.457859267418	0.840966001379	1.0	4.00034789926e-05	0.0	0.000108195658397	0.000520732058398
k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae	2.56533616235	0.463598997635	0.842907268427	1.0	0.0	0.0	1.05005606902e-06	3.18088367463e-05
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Sporichthyaceae	2.425978524	0.488817050086	0.876960727948	1.0	0.0	0.0	2.37734838797e-07	5.12260091524e-06
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae	2.40840254395	0.49207240846	0.876960727948	1.0	4.67934371989e-05	4.59869791153e-05	8.88223962434e-05	4.51667838453e-05
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__	2.31877620597	0.508933430778	0.89811781902	1.0	2.66793690432e-06	1.68962681776e-05	0.000247374840793	0.00169343029962
k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae	2.25542801767	0.521113448955	0.903890933376	1.0	0.0	0.0	8.99626807741e-07	5.60339022453e-06
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae	2.24341343971	0.523447973102	0.903890933376	1.0	0.000147065118216	5.8033253054e-06	0.0005444664021	0.000141207443459
k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae	2.20285799281	0.531385655161	0.903890933376	1.0	0.0	0.0	0.000180270775732	2.7521424525e-05
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__	2.19768903468	0.532403702749	0.903890933376	1.0	3.74267347967e-06	0.0	8.56648271675e-05	1.68212496499e-06
k__Bacteria; p__SR1; c__; o__; f__	2.16257759017	0.539356981527	0.903890933376	1.0	1.26306323147e-06	0.0	4.72915581293e-06	2.52551877043e-06
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cellulomonadaceae	2.14764294876	0.542334560026	0.903890933376	1.0	0.0	0.0	9.46389734703e-06	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__[Exiguobacteraceae]	2.11641297067	0.548599450843	0.905944047264	1.0	0.0	5.63208939252e-06	2.12723222192e-05	2.41480460122e-06
k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae	2.01093862316	0.570139459349	0.932955478935	1.0	4.28973474158e-06	0.0	0.000505280980625	4.11264607557e-05
k__Bacteria; p__TM7; c__TM7-3; o__CW040; f__	1.91929419428	0.589325269863	0.947308217436	1.0	0.0	0.0	4.84340008308e-07	7.76238393045e-07
k__Bacteria; p__Elusimicrobia; c__Elusimicrobia; o__Elusimicrobiales; f__Elusimicrobiaceae	1.91877010466	0.589436224183	0.947308217436	1.0	0.0	0.0	1.51495297873e-05	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]	1.84709390483	0.604740784728	0.963303904876	1.0	0.00557073987179	0.00321355787185	0.00806286182853	0.00610283936784
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae	1.75474388648	0.624832332388	0.985075303582	1.0	0.0	0.0	2.67248525908e-05	0.000208384617225
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae	1.72735086972	0.630870288673	0.985075303582	1.0	0.0	0.0	7.70545776092e-06	2.05889444294e-06
k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales; f__Gemellaceae	1.70948869184	0.634826306753	0.985075303582	1.0	2.89317466585e-05	1.64259309176e-05	0.000139788778703	0.000798264311053
k__Bacteria; p__[Thermi]; c__Deinococci; o__Deinococcales; f__Deinococcaceae	1.67387896347	0.64275662835	0.985574025972	1.0	0.0	0.0	1.29811392384e-06	5.69177879471e-07
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Listeriaceae	1.65894931152	0.646098528137	0.985574025972	1.0	0.0	0.0	2.35827915834e-06	5.29698849523e-06
k__Bacteria; p__TM7; c__TM7-3; o__; f__	1.62396526142	0.653968148096	0.989195518128	1.0	1.0301623867e-06	0.0	4.28601102227e-06	3.74075551957e-06
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae	1.58331722185	0.663178415796	0.99041495194	1.0	4.30235672803e-06	7.78238884317e-06	6.80625656747e-06	6.663860239e-06
k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Conexibacteraceae	1.40963759159	0.703277189289	0.99041495194	1.0	0.0	0.0	4.5874817389e-07	1.68212496499e-06
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Alicyclobacillaceae	1.40888545766	0.703453258652	0.99041495194	1.0	0.0	0.0	2.48540015163e-06	1.21827028413e-06
