OTU	Test-Statistic	P	FDR_P	Bonferroni_P	male_mean	female_mean
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella	5.09555064773	0.0239872972888	0.117437809643	1.0	2.38033474076e-08	3.66337950505e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Acidaminococcus	4.93131529646	0.026374235771	0.127792688787	1.0	0.000569403361428	0.000493285079819
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus	4.73659140592	0.0295275188334	0.141611569915	1.0	0.0227728809396	0.0250586072683
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__cc_115	4.69430349216	0.0302627621417	0.143671699057	1.0	0.000104406282454	0.000167004598572
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__	4.61880260587	0.0316233062398	0.148629539327	1.0	1.09544008502e-05	1.24682179654e-05
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__	4.58923775669	0.032173319394	0.149717426883	1.0	0.00130207876511	0.000926630562239
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Lysinibacillus	4.5329098416	0.0332490371047	0.153206347443	1.0	0.000413055639989	0.000352669860131
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]	4.43671953652	0.0351737712344	0.160501674565	1.0	0.00253833050269	0.000535276878443
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__	4.4077986273	0.0357749790727	0.161675386194	1.0	0.000618884831684	0.000805375539023
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Rikenella	4.38093885797	0.0363429737998	0.162678073199	1.0	0.0	2.94046340501e-05
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	4.32194274442	0.037623944045	0.166823148124	1.0	0.000289388101125	0.000369867818521
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Microbacterium	4.05430345105	0.044058892009	0.193529712563	1.0	1.05256617954e-06	3.30167410466e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__GW-34	4.02611409208	0.0448010206793	0.194967404808	1.0	1.77925961143e-06	4.02344703997e-08
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Slackia	3.86236271426	0.049380743249	0.212926140615	1.0	0.000116154599142	6.1571391221e-05
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Cloacibacterium	3.78383364875	0.0517499653008	0.221113488104	1.0	6.92045613203e-05	3.46016629742e-05
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__; g__	3.73774163559	0.053196298775	0.225245589408	1.0	3.08354746667e-06	1.13771036247e-05
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__	3.69891589103	0.0544478340678	0.227181966954	1.0	0.000375412335497	0.000541842856633
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Succinivibrionaceae; g__Succinivibrio	3.69363842308	0.0546203452463	0.227181966954	1.0	0.00141304442655	2.66401871453e-06
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Gluconacetobacter	3.6681665201	0.0554611625997	0.228655670367	1.0	1.4073657272e-07	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anaerobacillus	3.63695132223	0.0565103239022	0.230955236818	1.0	1.39728548026e-05	2.39811193757e-05
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermabacteraceae; g__Brachybacterium	3.61638249466	0.0572131509413	0.231811904676	1.0	7.19341226778e-06	1.81051551375e-06
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio	3.56773359028	0.0589126664081	0.236657719759	1.0	0.000902014480285	0.000788710218933
k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales; f__Dethiosulfovibrionaceae; g__Jonquetella	3.54512646196	0.0597206146199	0.237870244673	1.0	2.32695590042e-06	7.93698790365e-06
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Epulopiscium	3.48058122897	0.0620929267904	0.245240971357	1.0	1.23403814146e-05	1.57414934746e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__; f__; g__	3.43542447988	0.0638121851961	0.249931058685	1.0	6.43690528671e-06	9.34590811411e-06
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__	3.39134049911	0.0655396452318	0.254575481479	1.0	0.00855600304144	0.00700223094126
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__	3.37602041021	0.0661516034514	0.254846341165	1.0	0.00365725791227	0.00426359621955
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Salinicoccus	3.35139100414	0.0671482489253	0.256582739796	1.0	1.26150191402e-06	1.17048773425e-06
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Pontibacillus	3.28331338278	0.0699875019316	0.260877695896	1.0	0.0	4.0390341768e-07
